,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
439,570645.0,5940563,€,hotdogs,1.1086345860936442,22.63901,4,3906.0,51858.0,14.5,21.81148521,11.40421921,14564.0,28.10660594,29760.0,53.43413978,16.42473118,28.92798691,5151.867482,61.16343489999999,5.2806531560000005,30928.0,444,2818,42.23385689,399.0705388
359,567645.0,5936563,€,hotdogs,1.1086345860936442,51.66852,15,1386.0,17599.0,12.3,19.53520086,11.14267856,4220.0,23.98408639,11295.0,63.0455954,13.23594511,20.13377926,8070.670984,60.14988596,2.997719127,62479.0,2943,6246,72.2,361.6682766
360,567645.0,5937563,€,hotdogs,1.1086345860936442,17.14913,24,4177.0,54826.0,12.5,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
383,568645.0,5933563,€,hotdogs,1.1086345860936442,134.67522,4,2591.0,4067.0,13.7,3.1226948610000003,55.49545119,2786.0,68.57002215,1792.0,69.41964286,8.59375,27.27272727,1629.415807,43.17396313,8.179723502,19468.0,788,.    ,45.94594595,124.66191299999998
264,564645.0,5923563,€,hotdogs,1.1086345860936442,218.84766000000002,5,6249.0,26098.0,16.0,10.66365239,40.78856617,15558.0,59.64804662,14144.0,62.13235294,15.46238688,30.13260174,6539.789375,48.92451299,7.807426948,20773.0,283,2750,22.68907563,187.0641428
291,565645.0,5924563,€,hotdogs,1.1086345860936442,15.499720000000002,7,6249.0,26098.0,16.0,10.66365239,40.78856617,15558.0,59.64804662,14144.0,62.13235294,15.46238688,30.13260174,6539.789375,48.92451299,7.807426948,20773.0,283,2750,22.68907563,187.0641428
290,565645.0,5923563,€,hotdogs,1.1086345860936442,17.384629999999998,29,6249.0,26098.0,16.0,10.66365239,40.78856617,15558.0,59.64804662,14144.0,62.13235294,15.46238688,30.13260174,6539.789375,48.92451299,7.807426948,20773.0,283,2750,22.68907563,187.0641428
289,565645.0,5922563,€,hotdogs,1.1086345860936442,15.594489999999999,5,1039.0,17104.0,17.0,19.66206735,22.29887746,7256.0,42.46006203,9347.0,53.31122285,18.46581791,27.28852839,4997.044822999999,58.4120816,6.5442020670000005,25518.0,283,1768,36.40897756,315.0140318
710,580645.0,5927563,€,hotdogs,1.1086345860936442,179.51897,11,4723.0,35105.0,17.3,20.14527845,14.82409913,11208.0,31.95711679,18101.0,49.19617701,19.33594829,28.22857143,3388.8083840000004,57.40886098,4.979940694,35049.0,442,2744,46.47588765,345.2499644
415,569645.0,5940563,€,hotdogs,1.1086345860936442,48.495259999999995,4,1842.0,19390.0,19.1,19.66993296,22.23826715,9684.0,49.96904025,9602.0,46.58404499,22.0787336,30.8490566,7761.069742000001,52.35996474,9.287603172999999,22730.0,412,2459,26.73031026,295.77101600000003
365,567645.0,5942563,€,hotdogs,1.1086345860936442,95.9002,13,,12590.0,15.6,20.02382844,12.39078634,2826.0,22.44816904,7058.0,54.78889204,16.83196373,24.66329966,1619.416041,61.32400047,4.009965595,39526.0,548,2920,57.80445969,375.694996
